date,contract_preamble,expiry_date,mean,median,mode,variance,skewness,kurtosis
2025-04-30,FED-25JUL,2025-07-31,3.8883838383838394,3.9916666666666667,4,0.2711115336612735,-0.3198263386396523,0.9301415863568043
2025-04-30,FED-25JUN,2025-06-19,4.0368686868686865,4.092465753424658,4.25,0.12244086616599624,-0.8755186721991716,3.931838635839366
2025-04-30,FED-25MAY,2025-05-08,4.208333333333333,4.217277486910994,4.25,0.014507448219569433,-1.0000000000000069,10.220875558507396
2025-04-30,FED-25OCT,2025-10-11,3.6025252525252527,3.61328125,3.75,0.41699182416966324,0.19766309639727309,-0.22151140104974898
2025-04-30,FED-25SEP,2025-09-18,3.7669191919191922,3.8392857142857144,4,0.34815743652214426,0.03757711721817131,0.20304497656544207
2025-05-01,FED-25DEC,2025-10-11,3.5714646464646465,3.5914634146341466,4,0.45626096955680684,0.12764997744699966,-0.48030872620075193
2025-05-01,FED-25JUL,2025-07-31,3.8883838383838394,3.9916666666666667,4,0.2711115336612735,-0.3198263386396523,0.9301415863568043
2025-05-01,FED-25JUN,2025-06-19,4.041919191919192,4.091836734693877,4.25,0.11757509798526022,-0.8728813559322043,4.474928422610125
2025-05-01,FED-25MAY,2025-05-08,4.223484848484848,4.229381443298969,4.25,0.009811730713934572,-1.0000000000000284,20.858835514444728
2025-05-01,FED-25OCT,2025-10-11,3.603787878787879,3.615079365079365,3.75,0.4164098514993832,-0.28120446818844147,-0.2191444554435642
2025-05-01,FED-25SEP,2025-09-18,3.772979797979798,3.8482142857142856,4,0.34449516334655605,-0.5081967213114762,0.19936719545048875
2025-05-02,FED-25DEC,2025-10-11,3.5651515151515154,3.573170731707317,4,0.4536248620270659,0.1171662125340588,-0.45247147318421943
2025-05-02,FED-25JUL,2025-07-31,3.895202020202021,3.9971910112359548,4,0.26585522864601535,-0.30402930402930367,1.0222521732503624
2025-05-02,FED-25JUN,2025-06-19,4.041919191919192,4.085069444444445,4.25,0.10737205747918942,0.17773019271948506,4.570034456364679
2025-05-02,FED-25MAY,2025-05-08,4.233585858585858,4.235969387755102,4.25,0.005148219775553722,-1.0000000000000284,22.95048677372787
2025-05-02,FED-25OCT,2025-10-11,3.6025252525252522,3.609375,3.5,0.4157164441064044,0.19863013698630083,-0.20784781048900358
2025-05-02,FED-25SEP,2025-09-18,3.7755050505050507,3.8463855421686746,4,0.34118303997015365,-0.5054007959067658,0.24379188896030746
2025-05-03,FED-25DEC,2025-10-11,3.572727272727273,3.5930232558139537,4,0.45639591507360094,0.13019891500904007,-0.4808924528648726
2025-05-03,FED-25JUL,2025-07-31,3.9598484848484845,4.043478260869565,4,0.22606517424010542,-0.13838120104438914,2.123554102998674
2025-05-03,FED-25JUN,2025-06-19,4.147979797979798,4.183908045977011,4.25,0.08128860279151066,-0.8015873015873075,10.778776819820921
2025-05-03,FED-25MAY,2025-05-08,4.2436868686868685,4.24492385786802,4.25,0.0021916569016354756,-1.0000000000000282,70.58290911742607
2025-05-03,FED-25OCT,2025-10-11,3.6101010101010105,3.6192307692307693,4.25,0.41919088858176723,0.21124031007751923,-0.25594276350451883
2025-05-03,FED-25SEP,2025-09-18,3.786868686868686,3.8625,4,0.34142362302754103,-0.48118586088939663,0.2120722447912411
2025-05-04,FED-25DEC,2025-10-11,3.571464646464646,3.588888888888889,4,0.4568986595884362,0.12822836429542206,-0.47280076625060374
2025-05-04,FED-25JUL,2025-07-31,3.961868686868687,4.047101449275362,4,0.2301020742059922,-0.1300602928509924,2.1586484987867616
2025-05-04,FED-25JUN,2025-06-19,4.1454545454545455,4.181034482758621,4.25,0.08650091363589989,-0.7900763358778621,10.313776866527736
2025-05-04,FED-25MAY,2025-05-08,4.242424242424242,4.244897959183674,4.25,0.003130478337089908,-1.0000000000000284,61.164283333333216
2025-05-04,FED-25OCT,2025-10-11,3.6138888888888885,3.623076923076923,4.25,0.42056578693784075,-0.2605123247945876,-0.2763235739676717
2025-05-04,FED-25SEP,2025-09-18,3.7717171717171714,3.8625,4,0.3136242024365685,-0.5305164319248825,0.04494719452517648
2025-05-05,FED-25DEC,2025-10-11,3.572727272727273,3.597826086956522,4,0.45448284497871266,0.1307901907356941,-0.4614629491128066
2025-05-05,FED-25JUL,2025-07-31,3.9611111111111112,4.045620437956204,4,0.22903558593794285,-0.13230240549828437,2.123474062473104
2025-05-05,FED-25JUN,2025-06-19,4.157828282828282,4.190751445086705,4.25,0.072086349156291,-0.7684210526315786,7.714479873920011
2025-05-05,FED-25MAY,2025-05-08,4.242424242424242,4.244897959183674,4.25,0.003130478337089908,-1.0000000000000284,61.164283333333216
2025-05-05,FED-25OCT,2025-10-11,3.6138888888888885,3.625,4.25,0.4199280969062113,-0.26177756192326535,-0.268666819313355
2025-05-05,FED-25SEP,2025-09-18,3.772979797979797,3.8641975308641974,4,0.31324835179671423,-0.5291347851677476,0.05440997350954513
2025-05-06,FED-25DEC,2025-10-11,3.579040404040404,3.6127450980392157,4,0.45192081255365624,0.14377583830959914,-0.4454024977377924
2025-05-06,FED-25JUL,2025-07-31,3.9611111111111112,4.045620437956204,4,0.22903558593794285,-0.13230240549828437,2.123474062473104
2025-05-06,FED-25JUN,2025-06-19,4.164141414141414,4.193502824858757,4.25,0.06907664544640363,-0.7555555555555615,8.727384914332164
2025-05-06,FED-25MAY,2025-05-08,4.244949494949495,4.244949494949495,4.25,0.0012496148094556423,-1.0000000000000284,43.57495824742257
2025-05-06,FED-25OCT,2025-10-11,3.6138888888888885,3.625,4.25,0.4199280969062113,-0.26177756192326535,-0.268666819313355
2025-05-06,FED-25SEP,2025-09-18,3.772979797979797,3.8641975308641974,4,0.31324835179671423,-0.5291347851677476,0.05440997350954513
2025-05-07,FED-25DEC,2025-10-11,3.579040404040404,3.6127450980392157,4,0.45192081255365624,0.14377583830959914,-0.4454024977377924
2025-05-07,FED-25JUL,2025-07-31,3.9684343434343434,4.045620437956204,4,0.21510669649252454,-0.1101321585903115,2.2851096367600983
2025-05-07,FED-25JUN,2025-06-19,4.15530303030303,4.185393258426966,4.25,0.0677835517711551,-0.8064516129032259,8.793503160279789
2025-05-07,FED-25MAY,2025-05-08,4.242424242424242,4.242424242424242,4.25,0.0018550982738310563,-1.0000000000000284,27.413728124999903
2025-05-07,FED-25OCT,2025-10-11,3.6138888888888885,3.625,4.25,0.4199280969062113,-0.26177756192326535,-0.268666819313355
